subject,gender,age,nationality,art_training_scores,complexity_strategy,most_complex,complexity difference,open_comments,num_failed_attention_checks,num_attention_checks,set,time_taken
lnnq6cml,female,62,USA,"[3, 3, 4, 4, 3, 4, 2, 2, 3, 6, 2]","The more white space/less black space, the less complicated. The more predictable the pattern, the less complicated.",Non-repeating patterns ,"No, I imaged the complete pattern as an extension of the first given pattern (visible pattern)",No.,0,2,4,20.483333333333334
0yqv9u06,female,26,Brazilian ,"[3, 3, 3, 3, 3, 3, 3, 1, 1, 4, 0]",THE SIZE MINENSION AND SIMILARITIES BETWEEN ,THE ONES WHERE THERE WERE MORE BLANKS,NO,,0,2,4,6.383333333333334
qj45emvy,male,26,american,"[3, 3, 2, 3, 2, 3, 3, 6, 5, 3, 3]",The amount of colors present,The ones that had more designs. ,No,,0,3,4,4.916666666666667
f3t8r8zl,female,69,American,"[1, 2, 3, 2, 1, 3, 1, 0, 0, 0, 0]",Mostly had to do with how much gray coverage there was and how that compared to what was already showing,"The very intricate ones, that didn't have a readily discernible repetition",I tried to give extra complexity based on what I thought the whole would look like without the gray ,Rather interesting exercise.  ,0,3,4,14.016666666666667
8j3v418x,male,30,American,"[2, 1, 1, 2, 1, 1, 1, 1, 0, 3, 0]","The more that was ""going on"" in the image, the more complex I rated it. ",The ones with many different types of patterns within the images. ,I tried to judge the visible patterns as I saw them while judging the completed patterns as I imagined them to be. ,No,0,2,4,10.35
yjnwd5ex,male,18,Dominican,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","The more patterns, the more complicated",Intricate ones,no,,0,2,4,7.883333333333334
dhpocq49,female,30,American,"[4, 4, 4, 4, 3, 3, 4, 4, 6, 6, 4]",Symmetry,"Irregular patterns, those with no symmetry apparent",Sometimes - depending on how much of the pattern was revealed and whether there was any indication the pattern was symmetric,,0,2,2,8.183333333333334
vjej0wlh,female,40,USA,"[3, 3, 2, 3, 2, 3, 2, 2, 2, 4, 0]",I looked at the amount of white space and the design of the pattern.,Those that had less white space.,It depended on how much was covered up and if the covered up part had lots of white space.,no,0,3,2,8.366666666666667
o7nfyeo3,female,41,Caucasian,"[2, 1, 1, 2, 0, 0, 2, 0, 0, 4, 0]","I looked at the patterns and determined how ""busy"" they looked, as well as, how many shapes the pattern made.","The ones that were most ""busy"" looking, with lots of shapes and zig zags.",They were mostly the same in my head. Some images I imagined to be less complex under the grey clouds and some I imagined to be more complex.,,0,3,1,11.4
4vppvxs4,male,34,american,"[3, 1, 4, 2, 2, 3, 0, 0, 0, 4, 0]",how erratic the design was + how much was visible. ,Erratic patterns. not easily mathed.,"I don't assume what's there follows what might be there. (I didn't ""fill in the blanks"")",I appreciated the left and right labels on the challenge questions.,0,3,2,20.1
x5sylvye,male,29,American,"[3, 3, 2, 3, 3, 3, 1, 2, 4, 6, 2]",Mostly if I could reasonably replicate and then the methods to duplicate,"QR code type patterns, there appeared at times to be no order","A couple, where if it had a decent display of chaotic design then it could be who knows what in the unknown.",,0,2,1,15.033333333333333
bl6b9uro,female,27,US,"[1, 1, 3, 2, 2, 2, 2, 2, 6, 4, 3]","I looked at the use of color, white space and dark space.",Those that had smaller items. ,"Yes, I tried to imagine the whole square filled out. ",,0,2,1,21.05
zs1lt6vf,male,26,American,"[3, 2, 3, 3, 3, 3, 2, 2, 2, 6, 2]","If I can't find a pattern and there's not many of blank spaces, I'll rate it as high complexity.
If I can find a pattern, even if there's not much of blank space, I'll rate it in the middle.
If I can find a pattern, and there're many blank spaces (either mainly black or white), I'll rate it as low complexity.",The QR code like patterns were the most complex to me.,"There was, because I believe the complete image will show a pattern, while the important parts have been grayed out for the visible image.",n/a,0,2,1,26.9
shyjmfof,other,38,US,"[3, 3, 3, 3, 2, 3, 2, 2, 2, 6, 0]",intuition,the most random ones,yes- my brain tried to forecast the gaps to be filled in similar patterns to the visual I was given.,nah.,1,2,2,7.8
gv15r07r,male,49,USA,"[4, 3, 1, 4, 3, 4, 1, 1, 2, 6, 3]","Recognizable, repetitive pattern",Patterns with perceived local randomization,I assumed greater complexity in imagined patterns,no,0,2,1,12.65
jczjooq8,male,76,Dutch,"[1, 1, 0, 2, 1, 2, 1, 0, 0, 0, 0]",I compared the 2 blocks with eachother.,The one with the most grey cocerage.,"The more grey cover, the more difficult it was to imagine the complexity.",no,0,2,2,11.8
qrv5tnhj,male,28,American,"[4, 4, 4, 4, 4, 4, 3, 5, 4, 6, 4]",I tried to think about if I thought that the pattern seemed to be one that would simply mirror itself in the gray area or if the pattern was so different that it would be impossible to just guess how the marks in the hidden gray spots would look.,"The most complex ones changed for me as the game went on. I began to view the ones with little pattern and more random spots as being more complex and unpredictable, rather than complex ones just being ones with more detailing.","A bit. Usually I feel like my ratings stayed someone similar to one another. But, sometimes, if a pattern was one where most of the square was gray, I would place the imagined rating higher because I had no idea how the rest of the image would look if I could see past the gray.",,0,2,2,9.916666666666666
1wed2ljr,male,36,American,"[3, 3, 2, 3, 1, 3, 1, 0, 0, 6, 0]","The more balanced the amount of white and black pixels, the more complex I considered it.",The geometric and the busy ones.,"When the pattern was less visible, I would usually rate it less complex.",no,0,3,1,46.55
re6attuj,male,56,USA,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 4, 0]","I looked at the amount of randomness. I also thought ""more or less random"" than the last few to try to have a fair scale",Patterns that were more random were more complex,"If there was an obvious pattern that seemed to repeat or the picture was nearly whole, no, my ratings would be the same. If the picture was very incomplete or the visible bit seemed random, I imagined the complete picture more random and complex.",Nothing,0,2,1,14.683333333333334
2opm0e80,female,53,white,"[2, 1, 1, 2, 1, 3, 1, 1, 2, 3, 1]",Just imagined the picture complted,smaller blocks,not much,Nice study,2,3,2,14.85
un15ngw8,female,21,Cuban,"[3, 3, 2, 4, 4, 4, 3, 1, 3, 4, 2]",Composition of the pixels,The ones forming clear shapes.,"Yes, I thought visible patterns deserved higher ratings.","No, thank you!",0,2,2,7.883333333333334
9wqogfad,male,27,American,"[3, 2, 3, 3, 2, 3, 2, 3, 2, 6, 1]",Dots per inch or how many bits there were.,The ones with the smallest dots and those that looked like tapestries.,"Yes. When I saw a lot of dots randomly scattered throughout, I assumed that the remaining picture was very complex.",,0,3,2,16.366666666666667
4587hfet,other,28,American,"[3, 3, 3, 3, 3, 3, 3, 0, 4, 6, 0]","If I could easily replicate the pattern using symmetry, it was less complex. If there did not seem to be a pattern, it was more complex.",The types of patterns with less symmetry were most complex.,"Yes. If I could tell that the complete pattern would have elements of symmetry, I rated it based on the amount of symmetry. ",,0,2,1,10.516666666666667
d7pyx7s1,male,82,USA,"[3, 3, 2, 3, 4, 4, 4, 1, 3, 3, 1]",how many stars were shown versus the location and size of the clouded area,"with many stars shown, essentially the dark areas visible",some of them showed what might be a pattern of low concentrations and others showed what might be construed as a dense pattern behind the clouds,,0,2,2,28.05
a3ef62qu,female,49,american,"[2, 3, 4, 3, 3, 3, 4, 2, 3, 4, 0]",I went with how I was affected by the object overall.,Ones that had a lot of patterns in the colors.,The imagined patterns felt more intense.,"Thank you, was very interesting to look at. I actually have a bit of imprint after, I see black and white patterns when looking at white or bright backgrounds (like looking near the sun and seeing a yellow light on items for a while after.",0,3,1,14.1
zbdwyjy0,female,23,American ,"[4, 3, 2, 3, 4, 3, 3, 2, 0, 6, 2]",Amount of difference in each section ,Equal amount of black and white squares,A small amount,,0,2,2,10.266666666666667
kx1qrung,female,61,United States of America,"[3, 3, 3, 3, 3, 3, 1, 2, 3, 6, 3]",The number of pieces used in the pattern.,Patterns with complex grids and many pieces.,No,,0,2,1,22.316666666666666
83b174xs,male,36,American,"[4, 4, 4, 4, 4, 4, 3, 2, 3, 4, 3]",I was searching mainly for repeating patterns or pixel art. Imagination on pieces that were mostly obscured was important. ,"Fine detail, with many pixels interplaying off eachother seemed to be the most complex to me. ","Sometimes, I was envisioning a piece of pixel art and that could result in my imagined piece being more complex than what I saw visually. ",I have a degree in graphic design and have considered myself an artist of sorts for almost my entire life. ,0,3,2,15.883333333333333
3urstkmm,male,39,USA,"[3, 2, 3, 2, 2, 2, 1, 1, 2, 4, 0]",depending on the size and number of cells,full patterns,no,no,0,3,1,17.383333333333333
cr7owepr,female,74,american,"[3, 3, 1, 3, 3, 3, 1, 2, 3, 3, 3]",If there was less area covered with pattern I thought it was less complex.,Patterns with many the most small patterns were what I thought were the most complex.,No I thought it would be the same.,Interesting survey. It was pleasant to look at the grids.,0,3,1,13.266666666666667
vygr5421,male,42,jamaican,"[3, 1, 1, 2, 0, 2, 0, 0, 0, 3, 0]",try to judge the amount of objects and look at the arrangement of the objects in the patterns,the ones with the most objects and different arrangements,no,no,0,3,2,24.85
mxyokn3n,female,35,USA,"[4, 4, 3, 4, 4, 4, 0, 2, 2, 6, 2]",regularity + detail,lots of alternating light/dark in a regular pattern,"Yes, I imagined there might be more complex regions that were obscured",,0,3,1,7.466666666666667
udlvvhcw,male,32,American,"[4, 4, 3, 4, 4, 3, 0, 1, 0, 6, 0]","How predictable the pattern was, and how many different types of shapes and ideas there were",Patterns that had a lot of random movement and unusual shapes,"The completed images were sometimes more or less complex, but more often, they were more complex than they initially appeared. Usually, they were more unpredictable than I expected.",,0,2,2,7.183333333333334
l7yqrju4,female,49,Peruvian ,"[3, 3, 2, 3, 3, 3, 2, 4, 4, 5, 3]",Follow the pattern,The ones with less grids,No,Thanks ,1,3,1,31.25
538xopp3,female,34,american,"[3, 3, 2, 3, 3, 3, 0, 0, 0, 3, 0]","I looked for patterns and symmetry, the less symmetry the more complex ",The types that did not have any sort of symmetry,"Yes, usually i think that it will be more difficult",No,0,3,2,13.9
s7hnc00q,female,36,Haitian American,"[3, 2, 2, 2, 1, 1, 1, 0, 0, 0, 0]",I just look to see what pattern looks hard to replicate.,The ones that had feelings and blanks all over.,No,,3,3,1,10.233333333333333
zfbsq53y,female,49,American,"[4, 3, 2, 4, 2, 4, 3, 0, 1, 6, 1]",based on if I could see a pattern or not,the ones I could not determine a pattern in,no,,0,2,2,18.466666666666665
pef4y63t,female,27,American,"[3, 2, 4, 3, 1, 1, 2, 0, 0, 6, 0]","I looked at how much pattern there was, put also if the patterning was simplistic or complex",The patterns with about half white and half black with varied/complex patterning (ie a simplistic checkerboard pattern would be complex if the pattern was highly duplicated but not as complex as a more varied pattern),"Yes, I generally imagined the pattern would be more complex than the visible pattern, to varying degrees depending on what was visible","Thank you so much for this opportunity, I can't tell you what it means to me!",0,2,1,16.133333333333333
ot0m45an,female,32,Asian,"[3, 3, 3, 4, 2, 1, 2, 1, 0, 5, 0]",I based it on how many squares were color blocked and how easy the pattern is. ,Random patterns.,"Not really, but it's good to question your own perspective.",no,0,2,1,15.983333333333333
3fbsrbfp,female,42,Caucasian ,"[3, 3, 3, 3, 3, 3, 1, 3, 4, 6, 2]","The more ""busy"" the star pattern was the more complex.","The ones that had the most ""busy"" print. ","No, I just imagined the pattern completed and the more ""busy"" the more complex.",I enjoyed this survey.  Very hands on,0,3,2,13.616666666666667
asns086a,female,21,American,"[3, 3, 3, 2, 2, 3, 1, 2, 0, 5, 4]",I looked at how filled in the pattern was and then tried to fill in missing gaps with my brain,Ones with unpredictable patterns,"Not really. If the whole pattern was visible and complex, it would get the same rating as an imaged complex pattern",,0,3,2,7.183333333333334
r5cxpnk1,male,44,American,"[3, 2, 2, 2, 1, 1, 3, 0, 0, 0, 0]",Different Patterns It Made,A Lot Of Small Dots Coving A Large Area Mixed With Clumps Of Them,"If I Saw A Lot Of Patterns, I assumed It Would Be More Complex",,1,3,1,18.733333333333334
o4ykq97n,female,19,Brazilian,"[3, 2, 3, 3, 2, 2, 1, 1, 0, 6, 0]","I looked for symmetry and the more symmetrical they were, the less complex they looked. ",The ones full of pixels that were not symmetrical.,"Yes, because I knew that when I saw pieces of scattered pixels, the complete pattern would probably be even more complex.",,0,2,2,14.95
vty3c7vw,male,41,American,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0]",I looked at how complete the patterns were and if it was complete then I thought it was less complex.,The ones that were inconsistent throughout.,Not really. I imagined they would be about the same. ,,1,3,1,11.266666666666667
u9nl8s5o,male,25,American,"[4, 4, 4, 4, 3, 4, 3, 1, 0, 6, 0]",I judged the complexity based on the number of adjacent pixels that were different.,The more complex patterns were ones with the most detail and ones that were not a repeating pattern from the center of the image.,"Yes, I usually put the imagined as more complex than the grayed-out pattern. If the entire thing was the same, then I put they had the same complexity.",No.,0,3,2,16.9
81cbkw1r,female,27,American,"[3, 3, 3, 3, 3, 4, 1, 3, 4, 5, 2]",observation of the patterns available,the incomplete patterns,"yes, because the visible you can easily tell their complexity",great study!,0,3,1,25.316666666666666
p60mbj11,male,77,american,"[4, 3, 2, 3, 3, 2, 2, 1, 1, 3, 1]",I just followed my instinct and imagined the whole pattern on the screen,patterns with many different shapes,no,nice study,2,2,1,51.8
